last name,county,votes,state,total votes,percent votes,fips
Sanders,Mason,53,TX,171,0.30994152,48319
Sanders,Martin,20,TX,36,0.555555556,48317
Biden,Martin,16,TX,36,0.444444444,48317
Biden,Marion,371,TX,477,0.777777778,48315
Sanders,Marion,106,TX,477,0.222222222,48315
Biden,Madison,159,TX,235,0.676595745,48313
Sanders,Madison,76,TX,235,0.323404255,48313
Biden,Lynn,36,TX,50,0.72,48305
Sanders,Lynn,14,TX,50,0.28,48305
Sanders,Lubbock,4566,TX,9023,0.50604012,48303
Biden,Lubbock,4457,TX,9023,0.49395988,48303
Sanders,Loving,4,TX,4,1,48301
Biden,Loving,0,TX,4,0,48301
Biden,Llano,524,TX,767,0.683181226,48299
Sanders,Llano,243,TX,767,0.316818774,48299
Biden,Live Oak,164,TX,212,0.773584906,48297
Sanders,Live Oak,48,TX,212,0.226415094,48297
Biden,Lipscomb,20,TX,36,0.555555556,48295
Sanders,Lipscomb,16,TX,36,0.444444444,48295
Biden,Limestone,353,TX,516,0.684108527,48293
Sanders,Limestone,163,TX,516,0.315891473,48293
Biden,Liberty,787,TX,1255,0.627091633,48291
Sanders,Liberty,468,TX,1255,0.372908367,48291
Biden,Leon,243,TX,310,0.783870968,48289
Sanders,Leon,67,TX,310,0.216129032,48289
Biden,Lee,332,TX,484,0.685950413,48287
Sanders,Lee,152,TX,484,0.314049587,48287
Biden,Lavaca,234,TX,337,0.694362018,48285
Sanders,Lavaca,103,TX,337,0.305637982,48285
Biden,Lampasas,359,TX,540,0.664814815,48281
Sanders,Lampasas,181,TX,540,0.335185185,48281
Biden,Lamb,117,TX,192,0.609375,48279
Sanders,Lamb,75,TX,192,0.390625,48279
Biden,Lamar,862,TX,1251,0.689048761,48277
Sanders,Lamar,389,TX,1251,0.310951239,48277
Sanders,La Salle,291,TX,553,0.526220615,48283
Biden,La Salle,262,TX,553,0.473779385,48283
Biden,Knox,48,TX,61,0.786885246,48275
Sanders,Knox,13,TX,61,0.213114754,48275
Biden,Kleberg,946,TX,1572,0.60178117,48273
Sanders,Kleberg,626,TX,1572,0.39821883,48273
Biden,Kinney,4,TX,7,0.571428571,48271
Sanders,Kinney,3,TX,7,0.428571429,48271
Sanders,King,1,TX,1,1,48269
Biden,King,0,TX,1,0,48269
Biden,Kimble,41,TX,68,0.602941176,48267
Sanders,Kimble,27,TX,68,0.397058824,48267
Biden,Kerr,1049,TX,1676,0.625894988,48265
Sanders,Kerr,627,TX,1676,0.374105012,48265
Biden,Kent,14,TX,18,0.777777778,48263
Sanders,Kent,4,TX,18,0.222222222,48263
Biden,Kenedy,30,TX,52,0.576923077,48261
Sanders,Kenedy,22,TX,52,0.423076923,48261
Biden,Kendall,918,TX,1466,0.626193724,48259
Sanders,Kendall,548,TX,1466,0.373806276,48259
Biden,Kaufman,2341,TX,3823,0.612346325,48257
Sanders,Kaufman,1482,TX,3823,0.387653675,48257
Biden,Karnes,209,TX,356,0.587078652,48255
