,last name,county,votes,state,winner
224,Warren,Cherokee,33,IA,0.0
230,Steyer,Cherokee,11,IA,0.0
212,Klobuchar,Cerro Gordo,744,IA,1.0
208,Sanders,Cerro Gordo,673,IA,0.0
209,Biden,Cerro Gordo,549,IA,0.0
211,Warren,Cerro Gordo,177,IA,0.0
217,Steyer,Cerro Gordo,0,IA,0.0
195,Sanders,Cedar,274,IA,1.0
199,Klobuchar,Cedar,240,IA,0.0
198,Warren,Cedar,223,IA,0.0
196,Biden,Cedar,154,IA,0.0
204,Steyer,Cedar,0,IA,0.0
183,Biden,Cass,132,IA,1.0
185,Warren,Cass,120,IA,0.0
182,Sanders,Cass,84,IA,0.0
186,Klobuchar,Cass,84,IA,0.0
191,Steyer,Cass,0,IA,0.0
170,Biden,Carroll,275,IA,1.0
173,Klobuchar,Carroll,209,IA,0.0
169,Sanders,Carroll,143,IA,0.0
172,Warren,Carroll,99,IA,0.0
178,Steyer,Carroll,0,IA,0.0
157,Biden,Calhoun,100,IA,1.0
156,Sanders,Calhoun,75,IA,0.0
159,Warren,Calhoun,67,IA,0.0
160,Klobuchar,Calhoun,58,IA,0.0
165,Steyer,Calhoun,0,IA,0.0
143,Sanders,Butler,175,IA,1.0
144,Biden,Butler,140,IA,0.0
146,Warren,Butler,128,IA,0.0
147,Klobuchar,Butler,117,IA,0.0
152,Steyer,Butler,0,IA,0.0
130,Sanders,Buena Vista,240,IA,1.0
131,Biden,Buena Vista,180,IA,0.0
133,Warren,Buena Vista,120,IA,0.0
134,Klobuchar,Buena Vista,120,IA,0.0
139,Steyer,Buena Vista,20,IA,0.0
118,Biden,Buchanan,383,IA,1.0
121,Klobuchar,Buchanan,219,IA,0.0
117,Sanders,Buchanan,150,IA,0.0
120,Warren,Buchanan,82,IA,0.0
126,Steyer,Buchanan,14,IA,0.0
107,Warren,Bremer,363,IA,1.0
105,Biden,Bremer,317,IA,0.0
108,Klobuchar,Bremer,272,IA,0.0
104,Sanders,Bremer,159,IA,0.0
113,Steyer,Bremer,0,IA,0.0
91,Sanders,Boone,532,IA,1.0
94,Warren,Boone,380,IA,0.0
95,Klobuchar,Boone,228,IA,0.0
92,Biden,Boone,152,IA,0.0
100,Steyer,Boone,19,IA,0.0
78,Sanders,Black Hawk,3171,IA,1.0
79,Biden,Black Hawk,1757,IA,0.0
81,Warren,Black Hawk,1737,IA,0.0
82,Klobuchar,Black Hawk,1030,IA,0.0
87,Steyer,Black Hawk,81,IA,0.0
66,Biden,Benton,465,IA,1.0
65,Sanders,Benton,352,IA,0.0
69,Klobuchar,Benton,150,IA,0.0
68,Warren,Benton,98,IA,0.0
74,Steyer,Benton,0,IA,0.0
53,Biden,Audubon,90,IA,1.0
56,Klobuchar,Audubon,90,IA,0.0
52,Sanders,Audubon,50,IA,0.0
55,Warren,Audubon,30,IA,0.0
61,Steyer,Audubon,0,IA,0.0
40,Biden,Appanoose,176,IA,1.0
39,Sanders,Appanoose,104,IA,0.0
43,Klobuchar,Appanoose,48,IA,0.0
48,Steyer,Appanoose,24,IA,0.0
42,Warren,Appanoose,8,IA,0.0
30,Klobuchar,Allamakee,140,IA,1.0
26,Sanders,Allamakee,109,IA,0.0
27,Biden,Allamakee,101,IA,0.0
29,Warren,Allamakee,54,IA,0.0
35,Steyer,Allamakee,8,IA,0.0
14,Biden,Adams,77,IA,1.0
17,Klobuchar,Adams,77,IA,0.0
13,Sanders,Adams,51,IA,0.0
16,Warren,Adams,43,IA,0.0
22,Steyer,Adams,0,IA,0.0
0,Sanders,Adair,102,IA,1.0
4,Klobuchar,Adair,86,IA,0.0
1,Biden,Adair,39,IA,0.0
3,Warren,Adair,31,IA,0.0
9,Steyer,Adair,16,IA,0.0
180,Sanders,Washoe,959,NV,1.0
183,Warren,Washoe,354,NV,0.0
184,Klobuchar,Washoe,220,NV,0.0
181,Biden,Washoe,165,NV,0.0
189,Steyer,Washoe,81,NV,0.0
168,Sanders,Storey,25,NV,1.0
169,Biden,Storey,11,NV,0.0
177,Steyer,Storey,9,NV,0.0
171,Warren,Storey,7,NV,0.0
172,Klobuchar,Storey,7,NV,0.0
165,Steyer,Pershing,13,NV,1.0
160,Klobuchar,Pershing,12,NV,0.0
156,Sanders,Pershing,9,NV,0.0
157,Biden,Pershing,9,NV,0.0
159,Warren,Pershing,5,NV,0.0
144,Sanders,Nye,41,NV,1.0
153,Steyer,Nye,38,NV,0.0
145,Biden,Nye,26,NV,0.0
147,Warren,Nye,7,NV,0.0
148,Klobuchar,Nye,5,NV,0.0
141,Steyer,Mineral,16,NV,1.0
132,Sanders,Mineral,13,NV,0.0
135,Warren,Mineral,5,NV,0.0
133,Biden,Mineral,4,NV,0.0
136,Klobuchar,Mineral,3,NV,0.0
120,Sanders,Lyon,58,NV,1.0
121,Biden,Lyon,20,NV,0.0
129,Steyer,Lyon,19,NV,0.0
123,Warren,Lyon,17,NV,0.0
124,Klobuchar,Lyon,11,NV,0.0
108,Sanders,Lincoln,24,NV,1.0
117,Steyer,Lincoln,6,NV,0.0
109,Biden,Lincoln,2,NV,0.0
111,Warren,Lincoln,0,NV,0.0
112,Klobuchar,Lincoln,0,NV,0.0
96,Sanders,Lander,26,NV,1.0
99,Warren,Lander,15,NV,0.0
97,Biden,Lander,7,NV,0.0
100,Klobuchar,Lander,5,NV,0.0
105,Steyer,Lander,3,NV,0.0
84,Sanders,Humboldt,40,NV,1.0
85,Biden,Humboldt,9,NV,0.0
88,Klobuchar,Humboldt,8,NV,0.0
87,Warren,Humboldt,5,NV,0.0
93,Steyer,Humboldt,5,NV,0.0
72,Sanders,Eureka,14,NV,1.0
